name,level,notes,type,grade
華蕾夢ミル狂詩曲 ～魂ノ導～,27,656,Cool,MASTER
華蕾夢ミル狂詩曲 ～魂ノ導～,18,423,Cool,PRO
華蕾夢ミル狂詩曲 ～魂ノ導～,13,190,Cool,REGULAR
華蕾夢ミル狂詩曲 ～魂ノ導～,6,88,Cool,DEBUTE
あんずのうた,28,700,Cute,MASTER
あんずのうた,19,464,Cute,PRO
あんずのうた,14,265,Cute,REGULAR
あんずのうた,9,152,Cute,DEBUTE
ましゅまろ☆キッス,24,504,Passion,MASTER
ましゅまろ☆キッス,18,379,Passion,PRO
ましゅまろ☆キッス,13,157,Passion,REGULAR
ましゅまろ☆キッス,8,95,Passion,DEBUTE
風色メロディ,23,409,Cute,MASTER
風色メロディ,16,283,Cute,PRO
風色メロディ,11,138,Cute,REGULAR
風色メロディ,6,67,Cute,DEBUTE
DOKIDOKIリズム,24,569,Passion,MASTER
DOKIDOKIリズム,17,380,Passion,PRO
DOKIDOKIリズム,13,192,Passion,REGULAR
DOKIDOKIリズム,8,101,Passion,DEBUTE
TwiLi Sky,24,582,Cool,MASTER
TwiLi Sky,18,425,Cool,PRO
TwiLi Sky,13,192,Cool,REGULAR
TwiLi Sky,7,122,Cool,DEBUTE
おねだり Shall We ～？,25,520,Cute,MASTER
おねだり Shall We ～？,18,352,Cute,PRO
おねだり Shall We ～？,13,178,Cute,REGULAR
おねだり Shall We ～？,8,106,Cute,DEBUTE
ミツボシ☆☆★,24,579,Passion,MASTER
ミツボシ☆☆★,17,391,Passion,PRO
ミツボシ☆☆★,12,189,Passion,REGULAR
ミツボシ☆☆★,8,122,Passion,DEBUTE
Never say never,25,611,Cool,MASTER
Never say never,17,371,Cool,PRO
Never say never,12,216,Cool,REGULAR
Never say never,6,112,Cool,DEBUTE
S（mile）ING！,21,438,Cute,MASTER
S（mile）ING！,15,269,Cute,PRO
S（mile）ING！,11,162,Cute,REGULAR
S（mile）ING！,6,95,Cute,DEBUTE
Shine！！,25,540,All,MASTER
Shine！！,18,376,All,PRO
Shine！！,14,215,All,REGULAR
Shine！！,8,127,All,DEBUTE
GOIN’！！！,27,575,All,MASTER
GOIN’！！！,17,383,All,PRO
GOIN’！！！,13,181,All,REGULAR
GOIN’！！！,9,125,All,DEBUTE
できたて Evo！Revo！Generation！,26,671,All,MASTER
できたて Evo！Revo！Generation！,19,448,All,PRO
できたて Evo！Revo！Generation！,11,191,All,REGULAR
できたて Evo！Revo！Generation！,7,104,All,DEBUTE
OωOver！！,26,606,Cute,MASTER
OωOver！！,17,374,Cute,PRO
OωOver！！,12,181,Cute,REGULAR
OωOver！！,8,110,Cute,DEBUTE
LET’S GO HAPPY！！,27,703,Passion,MASTER
LET’S GO HAPPY！！,18,450,Passion,PRO
LET’S GO HAPPY！！,13,221,Passion,REGULAR
LET’S GO HAPPY！！,7,126,Passion,DEBUTE
Happy×2 Days,23,478,Cute,MASTER
Happy×2 Days,17,325,Cute,PRO
Happy×2 Days,13,183,Cute,REGULAR
Happy×2 Days,8,109,Cute,DEBUTE
LEGNE 仇なす剣 光の旋律,28,630,Cool,MASTER
LEGNE 仇なす剣 光の旋律,19,417,Cool,PRO
LEGNE 仇なす剣 光の旋律,14,224,Cool,REGULAR
LEGNE 仇なす剣 光の旋律,9,116,Cool,DEBUTE
Memories,22,412,Cool,MASTER
Memories,16,267,Cool,PRO
Memories,11,135,Cool,REGULAR
Memories,6,74,Cool,DEBUTE
夕映えプレゼント,26,593,All,MASTER
夕映えプレゼント,18,425,All,PRO
夕映えプレゼント,14,201,All,REGULAR
夕映えプレゼント,8,103,All,DEBUTE
Star！！,25,569,All,MASTER
Star！！,16,346,All,PRO
Star！！,12,180,All,REGULAR
Star！！,6,102,All,DEBUTE
ススメ☆オトメ ～jewel Passionrade～（PASSION VERSION）,24,511,Passion,MASTER
ススメ☆オトメ ～jewel Passionrade～（PASSION VERSION）,17,398,Passion,PRO
ススメ☆オトメ ～jewel Passionrade～（PASSION VERSION）,13,166,Passion,REGULAR
ススメ☆オトメ ～jewel Passionrade～（PASSION VERSION）,8,83,Passion,DEBUTE
ススメ☆オトメ ～jewel Passionrade～（COOL VERSION）,24,406,Cool,MASTER
ススメ☆オトメ ～jewel Passionrade～（COOL VERSION）,17,292,Cool,PRO
ススメ☆オトメ ～jewel Passionrade～（COOL VERSION）,13,179,Cool,REGULAR
ススメ☆オトメ ～jewel Passionrade～（COOL VERSION）,8,88,Cool,DEBUTE
ススメ☆オトメ ～jewel Passionrade～（CUTE VERSION）,24,517,Cute,MASTER
ススメ☆オトメ ～jewel Passionrade～（CUTE VERSION）,17,365,Cute,PRO
ススメ☆オトメ ～jewel Passionrade～（CUTE VERSION）,13,196,Cute,REGULAR
ススメ☆オトメ ～jewel Passionrade～（CUTE VERSION）,8,109,Cute,DEBUTE
ススメ☆オトメ ～jewel Passionrade～,25,466,All,MASTER
ススメ☆オトメ ～jewel Passionrade～,18,342,All,PRO
ススメ☆オトメ ～jewel Passionrade～,13,176,All,REGULAR
ススメ☆オトメ ～jewel Passionrade～,8,96,All,DEBUTE
メッセージ,25,521,All,MASTER
メッセージ,16,347,All,PRO
メッセージ,13,202,All,REGULAR
メッセージ,7,105,All,DEBUTE
We’re the friends！,22,547,All,MASTER
We’re the friends！,16,383,All,PRO
We’re the friends！,12,170,All,REGULAR
We’re the friends！,6,73,All,DEBUTE
輝く世界の魔法,25,585,All,MASTER
輝く世界の魔法,18,470,All,PRO
輝く世界の魔法,13,224,All,REGULAR
輝く世界の魔法,7,112,All,DEBUTE
とどけ！アイドル,21,481,All,MASTER
とどけ！アイドル,15,310,All,PRO
とどけ！アイドル,11,145,All,REGULAR
とどけ！アイドル,5,74,All,DEBUTE
お願い！シンデレラ,20,477,All,MASTER
お願い！シンデレラ,15,341,All,PRO
お願い！シンデレラ,10,205,All,REGULAR
お願い！シンデレラ,5,46,All,DEBUTE
アタシポンコツアンドロイド,26,634,Cute,MASTER
アタシポンコツアンドロイド,17,391,Cute,PRO
アタシポンコツアンドロイド,12,202,Cute,REGULAR
アタシポンコツアンドロイド,8,99,Cute,DEBUTE
ショコラ・ティアラ,26,510,Cute,MASTER
ショコラ・ティアラ,18,366,Cute,PRO
ショコラ・ティアラ,13,166,Cute,REGULAR
ショコラ・ティアラ,6,82,Cute,DEBUTE
Trancing Pulse,28,662,Cool,MASTER
Trancing Pulse,19,389,Cool,PRO
Trancing Pulse,14,194,Cool,REGULAR
Trancing Pulse,9,112,Cool,DEBUTE
Nation Blue,26,708,Cool,MASTER
Nation Blue,17,368,Cool,PRO
Nation Blue,13,219,Cool,REGULAR
Nation Blue,9,141,Cool,DEBUTE
ヴィーナスシンドローム,26,612,Cool,MASTER
ヴィーナスシンドローム,19,379,Cool,PRO
ヴィーナスシンドローム,14,169,Cool,REGULAR
ヴィーナスシンドローム,8,107,Cool,DEBUTE
夢色ハーモニー,29,777,All,Legend_MASTER_PLUS
夢色ハーモニー,26,630,All,MASTER
夢色ハーモニー,18,390,All,PRO
夢色ハーモニー,14,197,All,REGULAR
夢色ハーモニー,8,127,All,DEBUTE
Romantic Now,27,660,Passion,MASTER
Romantic Now,19,461,Passion,PRO
Romantic Now,14,248,Passion,REGULAR
Romantic Now,8,126,Passion,DEBUTE
Orange Sapphire,26,719,Passion,MASTER
Orange Sapphire,17,411,Passion,PRO
Orange Sapphire,13,214,Passion,REGULAR
Orange Sapphire,8,116,Passion,DEBUTE
M＠GIC☆,28,767,All,MASTER
M＠GIC☆,18,403,All,PRO
M＠GIC☆,14,248,All,REGULAR
M＠GIC☆,8,108,All,DEBUTE
You’re stars shine on me,23,425,Cool,MASTER
You’re stars shine on me,16,245,Cool,PRO
You’re stars shine on me,12,115,Cool,REGULAR
You’re stars shine on me,6,69,Cool,DEBUTE
流れ星キセキ,29,814,All,Legend_MASTER_PLUS
流れ星キセキ,26,596,All,MASTER
流れ星キセキ,17,378,All,PRO
